               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.024216,           0.0085427,          0.00021392,               0.967,             0.93361,             0.97334,             0.73314,            0.018875,           0.0058325,          0.00018359,            0.006898,            0.006898,            0.006898
                  96,            0.024077,           0.0085267,          0.00021328,             0.94641,             0.94789,             0.97068,             0.74052,            0.018795,           0.0058195,          0.00020194,            0.006865,            0.006865,            0.006865
                  97,             0.02362,           0.0085077,          0.00022345,             0.94623,             0.94519,             0.96783,             0.74117,             0.01843,           0.0057693,          0.00017105,            0.006832,            0.006832,            0.006832
                  98,            0.024427,           0.0086666,          0.00018633,               0.951,             0.93569,             0.96603,             0.73213,            0.018736,           0.0058469,          0.00019144,            0.006799,            0.006799,            0.006799
                  99,            0.024649,           0.0083094,          0.00022228,             0.95195,             0.94449,              0.9682,              0.7381,            0.018093,           0.0057332,          0.00017665,            0.006766,            0.006766,            0.006766
                 100,            0.023847,           0.0085215,          0.00022341,             0.96304,             0.92937,              0.9685,             0.74106,            0.017905,           0.0057258,          0.00017155,            0.006733,            0.006733,            0.006733
                 101,            0.023781,           0.0081202,          0.00020299,             0.94707,             0.94102,             0.96627,             0.74563,            0.018342,           0.0058201,          0.00016595,              0.0067,              0.0067,              0.0067
                 102,             0.02356,           0.0081492,          0.00017941,             0.95598,             0.94317,             0.97183,             0.74233,            0.018039,            0.005675,          0.00017304,            0.006667,            0.006667,            0.006667
                 103,            0.023426,           0.0084452,          0.00018364,             0.96721,               0.932,             0.97052,             0.74865,            0.018144,           0.0056879,           0.0001665,            0.006634,            0.006634,            0.006634
                 104,            0.024064,           0.0082344,          0.00020198,             0.96169,             0.94224,             0.97019,             0.74575,            0.018631,           0.0057062,          0.00016787,            0.006601,            0.006601,            0.006601
                 105,            0.023775,           0.0082617,          0.00016685,             0.96007,             0.93235,             0.96885,             0.74195,            0.018609,           0.0057508,          0.00017472,            0.006568,            0.006568,            0.006568
                 106,            0.023211,           0.0083126,          0.00019504,             0.95149,             0.93894,             0.96958,             0.75101,            0.017604,           0.0056104,          0.00018133,            0.006535,            0.006535,            0.006535
                 107,            0.023375,           0.0080155,          0.00015389,             0.96108,             0.94156,             0.96961,             0.74835,            0.017868,           0.0055861,          0.00016808,            0.006502,            0.006502,            0.006502
                 108,            0.023879,           0.0082252,           0.0001938,             0.97037,             0.93622,              0.9718,             0.75562,            0.017639,           0.0055229,          0.00016834,            0.006469,            0.006469,            0.006469
                 109,            0.023089,           0.0083174,          0.00018175,             0.96334,             0.94434,             0.97252,             0.75393,            0.017472,           0.0055842,          0.00016546,            0.006436,            0.006436,            0.006436
                 110,            0.023345,           0.0083355,          0.00017862,             0.96141,              0.9417,             0.97091,              0.7529,            0.017817,           0.0056194,          0.00016075,            0.006403,            0.006403,            0.006403
                 111,            0.022801,           0.0081126,          0.00017412,             0.94913,             0.94681,             0.96994,             0.75366,            0.017713,           0.0055928,           0.0001671,             0.00637,             0.00637,             0.00637
                 112,            0.022964,           0.0083639,          0.00016471,             0.95899,             0.94454,             0.97098,             0.75545,            0.017474,           0.0055628,          0.00013281,            0.006337,            0.006337,            0.006337
                 113,            0.022931,           0.0080144,          0.00015356,             0.95444,             0.94064,             0.97331,             0.74851,            0.017646,           0.0056025,           0.0001698,            0.006304,            0.006304,            0.006304
                 114,            0.023078,           0.0080329,          0.00021118,             0.95668,             0.95022,             0.97515,             0.74854,            0.017778,            0.005612,          0.00017296,            0.006271,            0.006271,            0.006271
                 115,            0.022394,           0.0078532,           0.0001584,             0.95568,             0.92923,             0.96778,             0.74568,            0.017768,           0.0056777,          0.00016239,            0.006238,            0.006238,            0.006238
                 116,            0.023609,           0.0078275,          0.00018909,             0.95854,             0.93805,             0.97073,             0.74625,              0.0179,           0.0056711,          0.00016355,            0.006205,            0.006205,            0.006205
                 117,            0.022906,           0.0082882,          0.00014752,             0.95141,             0.94699,             0.97197,             0.76089,            0.017485,           0.0055123,          0.00013798,            0.006172,            0.006172,            0.006172
                 118,            0.023267,           0.0083253,          0.00015527,             0.95551,             0.94622,               0.971,              0.7639,            0.016978,           0.0054599,          0.00017115,            0.006139,            0.006139,            0.006139
